"","Year","App.","Taxon","Class","Importer","Exporter","Term","Unit","Purpose","Source","Exportation.type","Exportation.number"
"143",2020,"II","Alligator mississippiensis","Reptilia","MO","FR","leather products (small)","Not applied","T","W","Imported",50
"144",2020,"II","Alligator mississippiensis","Reptilia","MO","IT","leather products (large)","Not applied","T","W","Imported",1
"145",2020,"II","Alligator mississippiensis","Reptilia","MO","IT","leather products (small)","Not applied","T","W","Imported",136
"146",2020,"II","Alligator mississippiensis","Reptilia","RS","AT","leather products (small)","Not applied","T","W","Imported",5
"147",2020,"II","Alligator mississippiensis","Reptilia","RS","CH","leather products (small)","Not applied","T","W","Imported",22
"148",2020,"II","Alligator mississippiensis","Reptilia","RS","US","specimens","Not applied","T","W","Imported",19
"149",2020,"II","Caiman crocodilus","Reptilia","AZ","BY","live","Not applied","Z","C","Exported",3
"150",2020,"II","Caiman crocodilus crocodilus","Reptilia","MO","IT","leather products (small)","Not applied","T","W","Imported",132
"151",2020,"II","Caiman crocodilus fuscus","Reptilia","AE","CO","leather products (small)","Not applied","T","C","Exported",32
"152",2020,"II","Caiman crocodilus fuscus","Reptilia","DE","CO","skins","Not applied","T","C","Exported",1000
"153",2020,"II","Caiman crocodilus fuscus","Reptilia","FR","MG","leather products (small)","Not applied","T","C","Exported",30
"154",2020,"II","Caiman crocodilus fuscus","Reptilia","GB","CO","leather products (small)","Not applied","T","C","Exported",133
"155",2020,"II","Caiman crocodilus fuscus","Reptilia","JP","CO","leather products (small)","Not applied","T","C","Exported",10
"156",2020,"II","Caiman crocodilus fuscus","Reptilia","KR","CO","leather products (small)","Not applied","T","C","Exported",15
"157",2020,"II","Caiman crocodilus fuscus","Reptilia","KR","CO","skins","Not applied","T","C","Exported",5645
"158",2020,"II","Caiman crocodilus fuscus","Reptilia","KW","CO","leather products (small)","Not applied","T","C","Exported",15
"159",2020,"II","Caiman crocodilus fuscus","Reptilia","MG","FR","leather products (small)","Not applied","T","C","Imported",18
"160",2020,"II","Caiman crocodilus fuscus","Reptilia","MG","FR","skin pieces","Not applied","T","C","Imported",16
"161",2020,"II","Caiman crocodilus fuscus","Reptilia","MO","IT","leather products (small)","Not applied","T","C","Imported",5
"162",2020,"II","Caiman crocodilus fuscus","Reptilia","MX","CO","skins","Not applied","T","C","Exported",34103
"163",2020,"II","Caiman crocodilus fuscus","Reptilia","US","CO","leather products (small)","Not applied","T","C","Exported",784
"164",2020,"II","Caiman crocodilus fuscus","Reptilia","US","CO","leather products (small)","Not applied","T","C","Exported",392
